DATE,CODE,NAME,WEBSITE LINK,DAY'S TRADING Low,DAY'S TRADING High,DAY'S TRADING VWAP Price,Previous DAY'S VWAP Price,Change,Change Percent,Volume of Shares Traded,VWAP Adjusted Price for bonus issues and share splits
04-01-21,NBK,National Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=NBK,4.12,4.12,4.12,4.12,0,0.00%,-,
04-01-21,NCBA,NCBA Group Plc,https://live.mystocks.co.ke/stock=NCBA,26.5,27,26.6,26.75,-0.15,-0.56%,7700,
04-01-21,SBIC,Stanbic Holdings Plc,https://live.mystocks.co.ke/stock=SBIC,85,85,85,85,0,0.00%,-,
04-01-21,SCBK,Standard Chartered Bank Kenya Ltd,https://live.mystocks.co.ke/stock=SCBK,144,148.75,144.5,144.25,0.25,0.17%,14800,
04-01-21,DCON,Deacons (East Africa) Plc,https://live.mystocks.co.ke/stock=DCON,0.45,0.45,0.45,0.45,0,0.00%,-,
04-01-21,EVRD,Eveready East Africa Ltd,https://live.mystocks.co.ke/stock=EVRD,1.25,1.28,1.27,1.2,0.07,5.83%,700,
04-01-21,XPRS,Express Kenya Plc,https://live.mystocks.co.ke/stock=XPRS,3.38,3.7,3.61,3.61,0,0.00%,1100,
04-01-21,KQ,Kenya Airways Plc,https://live.mystocks.co.ke/stock=KQ,3.83,3.83,3.83,3.83,0,0.00%,-,
04-01-21,LKL,Longhorn Publishers Plc,https://live.mystocks.co.ke/stock=LKL,4.75,4.88,4.87,4.88,-0.01,-0.20%,1800,
04-01-21,NBV,Nairobi Business Ventures Ltd,https://live.mystocks.co.ke/stock=NBV,3.9,4.7,4.65,4.28,0.37,8.64%,22000,
04-01-21,NMG,Nation Media Group Plc,https://live.mystocks.co.ke/stock=NMG,15,15.5,15.3,15.45,-0.15,-0.97%,53700,
04-01-21,SMER,Sameer Africa Plc,https://live.mystocks.co.ke/stock=SMER,3.25,3.25,3.25,3.25,0,0.00%,-,
04-01-21,SGL,Standard Group Plc,https://live.mystocks.co.ke/stock=SGL,22.5,22.5,22.5,22.5,0,0.00%,-,
04-01-21,TPSE,TPS Eastern Africa (Serena) Ltd,https://live.mystocks.co.ke/stock=TPSE,16,16,16,16,0,0.00%,-,
04-01-21,UCHM,Uchumi Supermarket Plc,https://live.mystocks.co.ke/stock=UCHM,0.28,0.3,0.28,0.28,0,0.00%,247700,
04-01-21,SCAN,WPP ScanGroup Plc,https://live.mystocks.co.ke/stock=SCAN,5.8,6.1,6,6,0,0.00%,139400,
04-01-21,ARM,ARM Cement Plc,https://live.mystocks.co.ke/stock=ARM,5.55,5.55,5.55,5.55,0,0.00%,-,
04-01-21,BAMB,Bamburi Cement Ltd,https://live.mystocks.co.ke/stock=BAMB,39.95,39.95,39.95,37.85,2.1,5.55%,18100,
04-01-21,CRWN,Crown Paints Kenya Plc,https://live.mystocks.co.ke/stock=CRWN,38,38,38,38,0,0.00%,-,
04-01-21,CABL,East African Cables Ltd,https://live.mystocks.co.ke/stock=CABL,1.4,1.45,1.4,1.38,0.02,1.45%,18800,
04-01-21,PORT,East African Portland Cement Ltd,https://live.mystocks.co.ke/stock=PORT,11,11,11,11,0,0.00%,-,
04-01-21,KEGN,Kenya Electricity Generating Company Plc,https://live.mystocks.co.ke/stock=KEGN,4.6,4.78,4.67,4.71,-0.04,-0.85%,33100,
04-01-21,KPLC-P4,KPLC-P4,https://live.mystocks.co.ke/stock=KPLC-P4,5,5,5,5,0,0.00%,-,
04-01-21,KPLC-P7,KPLC-P7,https://live.mystocks.co.ke/stock=KPLC-P7,6,6,6,6,0,0.00%,-,
04-01-21,KPLC,Kenya Power and Lighting Company Plc,https://live.mystocks.co.ke/stock=KPLC,1.68,1.73,1.71,1.71,0,0.00%,1064600,
04-01-21,TOTL,Total Kenya Ltd,https://live.mystocks.co.ke/stock=TOTL,24,24,24,24,0,0.00%,5000,
04-01-21,UMME,Umeme Ltd,https://live.mystocks.co.ke/stock=UMME,7.28,7.3,7.3,7.28,0.02,0.27%,1800,
04-01-21,BRIT,Britam Holdings Plc,https://live.mystocks.co.ke/stock=BRIT,7,7.26,7,7.26,-0.26,-3.58%,510400,
04-01-21,CIC,CIC Insurance Group Ltd,https://live.mystocks.co.ke/stock=CIC,2.1,2.15,2.11,2.13,-0.02,-0.94%,40100,
04-01-21,JUB,Jubilee Holdings Ltd,https://live.mystocks.co.ke/stock=JUB,272.25,285,275.75,284,-8.25,-2.90%,3900,
04-01-21,KNRE,Kenya Re-Insurance Corporation Ltd,https://live.mystocks.co.ke/stock=KNRE,2.3,2.4,2.31,2.32,-0.01,-0.43%,160400,
04-01-21,LBTY,Liberty Kenya Holdings Ltd,https://live.mystocks.co.ke/stock=LBTY,7.7,7.7,7.7,7.7,0,0.00%,-,
04-01-21,SLAM,Sanlam Kenya Plc,https://live.mystocks.co.ke/stock=SLAM,13,13,13,12.95,0.05,0.39%,4300,
04-01-21,CTUM,Centum Investment Company Plc,https://live.mystocks.co.ke/stock=CTUM,16.2,16.5,16.45,16.05,0.4,2.49%,36700,
04-01-21,HAFR,Home Afrika Ltd,https://live.mystocks.co.ke/stock=HAFR,0.41,0.44,0.42,0.42,0,0.00%,24000,
04-01-21,KURV,Kurwitu Ventures Ltd,https://live.mystocks.co.ke/stock=KURV,1500,1500,1500,1500,0,0.00%,-,
04-01-21,OCH,Olympia Capital Holdings Ltd,https://live.mystocks.co.ke/stock=OCH,2.2,2.2,2.2,2.2,0,0.00%,100,
04-01-21,TCL,Trans-Century Plc,https://live.mystocks.co.ke/stock=TCL,1.45,1.49,1.48,1.45,0.03,2.07%,30000,
04-01-21,NSE,Nairobi Securities Exchange Plc,https://live.mystocks.co.ke/stock=NSE,8.26,8.4,8.3,8.16,0.14,1.72%,5500,
04-01-21,BOC,BOC Kenya Plc,https://live.mystocks.co.ke/stock=BOC,63,63,63,63,0,0.00%,-,
04-01-21,BAT,British American Tobacco Kenya Plc,https://live.mystocks.co.ke/stock=BAT,361,361,361,361,0,0.00%,-,
04-01-21,CARB,Carbacid Investments Plc,https://live.mystocks.co.ke/stock=CARB,12.05,12.3,12.1,12.1,0,0.00%,126200,
04-01-21,EABL,East African Breweries Ltd,https://live.mystocks.co.ke/stock=EABL,154,156,154,154.25,-0.25,-0.16%,168800,
04-01-21,FTGH,Flame Tree Group Holdings Ltd,https://live.mystocks.co.ke/stock=FTGH,1.21,1.23,1.23,1.23,0,0.00%,2900,
04-01-21,ORCH,Kenya Orchards Ltd,https://live.mystocks.co.ke/stock=ORCH,10.5,10.5,10.5,10.5,0,0.00%,-,
04-01-21,UNGA,Unga Group Ltd,https://live.mystocks.co.ke/stock=UNGA,31.8,31.8,31.8,31.8,0,0.00%,-,
04-01-21,SCOM,Safaricom Plc,https://live.mystocks.co.ke/stock=SCOM,34,34.5,34.25,34.25,0,0.00%,3591000,
04-01-21,FAHR,Stanlib Fahari Income-REIT,https://live.mystocks.co.ke/stock=FAHR,5.64,6.08,5.84,5.64,0.2,3.55%,9000,
04-01-21,GLD,ABSA NewGold ETF,https://live.mystocks.co.ke/stock=GLD,1975,1975,1975,1975,0,0.00%,-,
04-01-21,^FNK15,FTSE NSE Kenya 15 Index,https://live.mystocks.co.ke/stock=%255EFNK15,177.47,179.97,177.94,178.15,-0.21,-0.12%,-,
04-01-21,^FNK25,FTSE NSE Kenya 25 Index,https://live.mystocks.co.ke/stock=%255EFNK25,196.9,198.69,197.7,197.58,0.12,0.06%,-,
04-01-21,^N20I,NSE 20-Share Index,https://live.mystocks.co.ke/stock=%255EN20I,1872.42,1872.42,1872.42,1868.39,4.03,0.22%,-,
04-01-21,^N25I,NSE 25-Share Index,https://live.mystocks.co.ke/stock=%255EN25I,3410.11,3410.11,3410.11,3415.24,-5.13,-0.15%,-,
04-01-21,^NASI,NSE All-Share Index,https://live.mystocks.co.ke/stock=%255ENASI,152.04,152.04,152.04,152.11,-0.07,-0.05%,-,
04-01-21,^ZKEQTK,Zamara Kenya Equity Index (KES),https://live.mystocks.co.ke/stock=%255EZKEQTK,1781.47,1781.47,1781.47,1781.3,0.17,0.01%,-,
04-01-21,^ZKEQTU,Zamara Kenya Equity Index (USD),https://live.mystocks.co.ke/stock=%255EZKEQTU,1403.33,1403.33,1403.33,1404.48,-1.15,-0.08%,-,
05-01-21,EGAD,Eaagads Ltd,https://live.mystocks.co.ke/stock=EGAD,12.5,12.5,12.5,12.5,0,0.00%,-,
05-01-21,KUKZ,Kakuzi Plc,https://live.mystocks.co.ke/stock=KUKZ,365,365,365,365,0,0.00%,-,
05-01-21,KAPC,Kapchorua Tea Kenya Plc,https://live.mystocks.co.ke/stock=KAPC,78,78,78,78,0,0.00%,-,
05-01-21,LIMT,Limuru Tea Plc,https://live.mystocks.co.ke/stock=LIMT,360,360,360,360,0,0.00%,-,
05-01-21,SASN,Sasini Plc,https://live.mystocks.co.ke/stock=SASN,19.5,19.5,19.5,19.5,0,0.00%,100,
05-01-21,WTK,Williamson Tea Kenya Plc,https://live.mystocks.co.ke/stock=WTK,130,130,130,129.75,0.25,0.19%,100,
05-01-21,CGEN,Car and General (K) Ltd,https://live.mystocks.co.ke/stock=CGEN,22.5,22.5,22.5,22,0.5,2.27%,100,
05-01-21,ABSA,ABSA Bank Kenya Plc,https://live.mystocks.co.ke/stock=ABSA,9.44,9.7,9.44,9.52,-0.08,-0.84%,1923300,
05-01-21,BKG,BK Group Plc,https://live.mystocks.co.ke/stock=BKG,20.5,20.5,20.5,20.5,0,0.00%,-,
05-01-21,COOP,Co-operative Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=COOP,12.35,12.95,12.5,12.55,-0.05,-0.40%,425500,
05-01-21,DTK,Diamond Trust Bank Kenya Ltd,https://live.mystocks.co.ke/stock=DTK,76,77,76.25,76.75,-0.5,-0.65%,10200,
05-01-21,EQTY,Equity Group Holdings Plc,https://live.mystocks.co.ke/stock=EQTY,35.95,36.5,36.05,36.25,-0.2,-0.55%,879200,
05-01-21,HFCK,HF Group Ltd,https://live.mystocks.co.ke/stock=HFCK,3.14,3.45,3.3,3.14,0.16,5.10%,53500,
05-01-21,IMH,I & M Holdings Plc,https://live.mystocks.co.ke/stock=IMH,43.5,43.9,43.5,44.85,-1.35,-3.01%,107900,
05-01-21,KCB,KCB Group Plc,https://live.mystocks.co.ke/stock=KCB,38.35,38.95,38.5,38.4,0.1,0.26%,70000,
05-01-21,NBK,National Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=NBK,4.12,4.12,4.12,4.12,0,0.00%,-,
05-01-21,NCBA,NCBA Group Plc,https://live.mystocks.co.ke/stock=NCBA,25.45,27,25.75,26.6,-0.85,-3.20%,67900,
05-01-21,SBIC,Stanbic Holdings Plc,https://live.mystocks.co.ke/stock=SBIC,85,85,85,85,0,0.00%,-,
05-01-21,SCBK,Standard Chartered Bank Kenya Ltd,https://live.mystocks.co.ke/stock=SCBK,144,145,144.5,144.5,0,0.00%,10100,
05-01-21,DCON,Deacons (East Africa) Plc,https://live.mystocks.co.ke/stock=DCON,0.45,0.45,0.45,0.45,0,0.00%,-,
05-01-21,EVRD,Eveready East Africa Ltd,https://live.mystocks.co.ke/stock=EVRD,1.2,1.26,1.23,1.27,-0.04,-3.15%,14000,
05-01-21,XPRS,Express Kenya Plc,https://live.mystocks.co.ke/stock=XPRS,3.61,3.61,3.61,3.61,0,0.00%,-,
05-01-21,KQ,Kenya Airways Plc,https://live.mystocks.co.ke/stock=KQ,3.83,3.83,3.83,3.83,0,0.00%,-,
05-01-21,LKL,Longhorn Publishers Plc,https://live.mystocks.co.ke/stock=LKL,4.75,4.75,4.75,4.87,-0.12,-2.46%,2600,
05-01-21,NBV,Nairobi Business Ventures Ltd,https://live.mystocks.co.ke/stock=NBV,4.19,4.5,4.48,4.65,-0.17,-3.66%,45300,
05-01-21,NMG,Nation Media Group Plc,https://live.mystocks.co.ke/stock=NMG,15,15.45,15.1,15.3,-0.2,-1.31%,33300,
05-01-21,SMER,Sameer Africa Plc,https://live.mystocks.co.ke/stock=SMER,3.25,3.25,3.25,3.25,0,0.00%,200,
05-01-21,SGL,Standard Group Plc,https://live.mystocks.co.ke/stock=SGL,22.5,22.5,22.5,22.5,0,0.00%,-,
05-01-21,TPSE,TPS Eastern Africa (Serena) Ltd,https://live.mystocks.co.ke/stock=TPSE,16,16,16,16,0,0.00%,-,
05-01-21,UCHM,Uchumi Supermarket Plc,https://live.mystocks.co.ke/stock=UCHM,0.28,0.29,0.28,0.28,0,0.00%,45800,
05-01-21,SCAN,WPP ScanGroup Plc,https://live.mystocks.co.ke/stock=SCAN,5.9,6,6,6,0,0.00%,65000,
05-01-21,ARM,ARM Cement Plc,https://live.mystocks.co.ke/stock=ARM,5.55,5.55,5.55,5.55,0,0.00%,-,
05-01-21,BAMB,Bamburi Cement Ltd,https://live.mystocks.co.ke/stock=BAMB,38,39,38.2,39.95,-1.75,-4.38%,49000,
05-01-21,CRWN,Crown Paints Kenya Plc,https://live.mystocks.co.ke/stock=CRWN,38,38,38,38,0,0.00%,-,
05-01-21,CABL,East African Cables Ltd,https://live.mystocks.co.ke/stock=CABL,1.4,1.45,1.45,1.4,0.05,3.57%,59800,
05-01-21,PORT,East African Portland Cement Ltd,https://live.mystocks.co.ke/stock=PORT,11,11,11,11,0,0.00%,-,
05-01-21,KEGN,Kenya Electricity Generating Company Plc,https://live.mystocks.co.ke/stock=KEGN,4.67,4.85,4.76,4.67,0.09,1.93%,68800,
05-01-21,KPLC-P4,KPLC-P4,https://live.mystocks.co.ke/stock=KPLC-P4,5,5,5,5,0,0.00%,-,
05-01-21,KPLC-P7,KPLC-P7,https://live.mystocks.co.ke/stock=KPLC-P7,6,6,6,6,0,0.00%,-,
05-01-21,KPLC,Kenya Power and Lighting Company Plc,https://live.mystocks.co.ke/stock=KPLC,1.69,1.74,1.71,1.71,0,0.00%,905700,
05-01-21,TOTL,Total Kenya Ltd,https://live.mystocks.co.ke/stock=TOTL,24,24.5,24.4,24,0.4,1.67%,2600,
05-01-21,UMME,Umeme Ltd,https://live.mystocks.co.ke/stock=UMME,7.28,7.3,7.28,7.3,-0.02,-0.27%,6200,
05-01-21,BRIT,Britam Holdings Plc,https://live.mystocks.co.ke/stock=BRIT,7,7.5,7.12,7,0.12,1.71%,9500,
05-01-21,CIC,CIC Insurance Group Ltd,https://live.mystocks.co.ke/stock=CIC,2.11,2.2,2.16,2.11,0.05,2.37%,97500,
05-01-21,JUB,Jubilee Holdings Ltd,https://live.mystocks.co.ke/stock=JUB,285,285,285,275.75,9.25,3.35%,1200,
05-01-21,KNRE,Kenya Re-Insurance Corporation Ltd,https://live.mystocks.co.ke/stock=KNRE,2.31,2.4,2.33,2.31,0.02,0.87%,120900,
05-01-21,LBTY,Liberty Kenya Holdings Ltd,https://live.mystocks.co.ke/stock=LBTY,7.5,7.6,7.5,7.7,-0.2,-2.60%,6200,
05-01-21,SLAM,Sanlam Kenya Plc,https://live.mystocks.co.ke/stock=SLAM,13,13,13,13,0,0.00%,-,
05-01-21,CTUM,Centum Investment Company Plc,https://live.mystocks.co.ke/stock=CTUM,16.45,17.5,17.1,16.45,0.65,3.95%,16900,
05-01-21,HAFR,Home Afrika Ltd,https://live.mystocks.co.ke/stock=HAFR,0.4,0.44,0.41,0.42,-0.01,-2.38%,17700,
05-01-21,KURV,Kurwitu Ventures Ltd,https://live.mystocks.co.ke/stock=KURV,1500,1500,1500,1500,0,0.00%,-,
05-01-21,OCH,Olympia Capital Holdings Ltd,https://live.mystocks.co.ke/stock=OCH,2.2,2.2,2.2,2.2,0,0.00%,200,
05-01-21,TCL,Trans-Century Plc,https://live.mystocks.co.ke/stock=TCL,1.49,1.5,1.5,1.48,0.02,1.35%,900,
05-01-21,NSE,Nairobi Securities Exchange Plc,https://live.mystocks.co.ke/stock=NSE,8.16,8.4,8.4,8.3,0.1,1.20%,7500,
05-01-21,BOC,BOC Kenya Plc,https://live.mystocks.co.ke/stock=BOC,63,63,63,63,0,0.00%,-,
05-01-21,BAT,British American Tobacco Kenya Plc,https://live.mystocks.co.ke/stock=BAT,385,385,385,361,24,6.65%,113200,
05-01-21,CARB,Carbacid Investments Plc,https://live.mystocks.co.ke/stock=CARB,12.1,12.4,12.25,12.1,0.15,1.24%,66400,
05-01-21,EABL,East African Breweries Ltd,https://live.mystocks.co.ke/stock=EABL,154,158,155,154,1,0.65%,6200,
05-01-21,FTGH,Flame Tree Group Holdings Ltd,https://live.mystocks.co.ke/stock=FTGH,1.25,1.3,1.25,1.23,0.02,1.63%,1100,
05-01-21,ORCH,Kenya Orchards Ltd,https://live.mystocks.co.ke/stock=ORCH,10.5,10.5,10.5,10.5,0,0.00%,-,
05-01-21,UNGA,Unga Group Ltd,https://live.mystocks.co.ke/stock=UNGA,31.8,31.8,31.8,31.8,0,0.00%,-,
05-01-21,SCOM,Safaricom Plc,https://live.mystocks.co.ke/stock=SCOM,34.1,35,34.4,34.25,0.15,0.44%,7743600,
05-01-21,FAHR,Stanlib Fahari Income-REIT,https://live.mystocks.co.ke/stock=FAHR,5.6,6.4,5.68,5.84,-0.16,-2.74%,48100,
05-01-21,GLD,ABSA NewGold ETF,https://live.mystocks.co.ke/stock=GLD,1975,1975,1975,1975,0,0.00%,-,
05-01-21,^FNK15,FTSE NSE Kenya 15 Index,https://live.mystocks.co.ke/stock=%255EFNK15,177.68,179.1,177.98,177.94,0.04,0.02%,-,
05-01-21,^FNK25,FTSE NSE Kenya 25 Index,https://live.mystocks.co.ke/stock=%255EFNK25,197.19,200.11,198.26,197.7,0.56,0.28%,-,
05-01-21,^N20I,NSE 20-Share Index,https://live.mystocks.co.ke/stock=%255EN20I,1877.89,1877.89,1877.89,1872.42,5.47,0.29%,-,
05-01-21,^N25I,NSE 25-Share Index,https://live.mystocks.co.ke/stock=%255EN25I,3412.13,3412.13,3412.13,3410.11,2.02,0.06%,-,
05-01-21,^NASI,NSE All-Share Index,https://live.mystocks.co.ke/stock=%255ENASI,152.49,152.49,152.49,152.04,0.45,0.30%,-,
05-01-21,^ZKEQTK,Zamara Kenya Equity Index (KES),https://live.mystocks.co.ke/stock=%255EZKEQTK,1785.74,1785.74,1785.74,1781.47,4.27,0.24%,-,
05-01-21,^ZKEQTU,Zamara Kenya Equity Index (USD),https://live.mystocks.co.ke/stock=%255EZKEQTU,1405.41,1405.41,1405.41,1403.33,2.08,0.15%,-,
06-01-21,EGAD,Eaagads Ltd,https://live.mystocks.co.ke/stock=EGAD,12.5,12.5,12.5,12.5,0,0.00%,-,
06-01-21,KUKZ,Kakuzi Plc,https://live.mystocks.co.ke/stock=KUKZ,365,365,365,365,0,0.00%,-,
06-01-21,KAPC,Kapchorua Tea Kenya Plc,https://live.mystocks.co.ke/stock=KAPC,78,78,78,78,0,0.00%,-,
06-01-21,LIMT,Limuru Tea Plc,https://live.mystocks.co.ke/stock=LIMT,360,360,360,360,0,0.00%,-,
06-01-21,SASN,Sasini Plc,https://live.mystocks.co.ke/stock=SASN,18.9,19.5,18.95,19.5,-0.55,-2.82%,10500,
06-01-21,WTK,Williamson Tea Kenya Plc,https://live.mystocks.co.ke/stock=WTK,127.5,130,128.25,130,-1.75,-1.35%,1000,
06-01-21,CGEN,Car and General (K) Ltd,https://live.mystocks.co.ke/stock=CGEN,24,24,24,22.5,1.5,6.67%,100,
06-01-21,ABSA,ABSA Bank Kenya Plc,https://live.mystocks.co.ke/stock=ABSA,9.4,9.68,9.44,9.44,0,0.00%,233400,
06-01-21,BKG,BK Group Plc,https://live.mystocks.co.ke/stock=BKG,20.5,20.5,20.5,20.5,0,0.00%,-,
06-01-21,COOP,Co-operative Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=COOP,12.5,12.8,12.6,12.5,0.1,0.80%,117100,
06-01-21,DTK,Diamond Trust Bank Kenya Ltd,https://live.mystocks.co.ke/stock=DTK,76,77,76.75,76.25,0.5,0.66%,8600,
06-01-21,EQTY,Equity Group Holdings Plc,https://live.mystocks.co.ke/stock=EQTY,35.75,36.15,36,36.05,-0.05,-0.14%,4349400,
06-01-21,HFCK,HF Group Ltd,https://live.mystocks.co.ke/stock=HFCK,3.18,3.6,3.38,3.3,0.08,2.42%,26500,
06-01-21,IMH,I & M Holdings Plc,https://live.mystocks.co.ke/stock=IMH,45,45,45,43.5,1.5,3.45%,64000,
06-01-21,KCB,KCB Group Plc,https://live.mystocks.co.ke/stock=KCB,38,38.95,38.5,38.5,0,0.00%,2287900,
06-01-21,NBK,National Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=NBK,4.12,4.12,4.12,4.12,0,0.00%,-,
06-01-21,NCBA,NCBA Group Plc,https://live.mystocks.co.ke/stock=NCBA,25,25.7,25.05,25.75,-0.7,-2.72%,89600,
06-01-21,SBIC,Stanbic Holdings Plc,https://live.mystocks.co.ke/stock=SBIC,79,85,80.25,85,-4.75,-5.59%,1600,
06-01-21,SCBK,Standard Chartered Bank Kenya Ltd,https://live.mystocks.co.ke/stock=SCBK,138.5,145,141.25,144.5,-3.25,-2.25%,161100,
06-01-21,DCON,Deacons (East Africa) Plc,https://live.mystocks.co.ke/stock=DCON,0.45,0.45,0.45,0.45,0,0.00%,-,
06-01-21,EVRD,Eveready East Africa Ltd,https://live.mystocks.co.ke/stock=EVRD,1.18,1.2,1.18,1.23,-0.05,-4.07%,10000,
06-01-21,XPRS,Express Kenya Plc,https://live.mystocks.co.ke/stock=XPRS,3.5,3.61,3.51,3.61,-0.1,-2.77%,1900,
06-01-21,KQ,Kenya Airways Plc,https://live.mystocks.co.ke/stock=KQ,3.83,3.83,3.83,3.83,0,0.00%,-,
06-01-21,LKL,Longhorn Publishers Plc,https://live.mystocks.co.ke/stock=LKL,4.7,4.87,4.71,4.75,-0.04,-0.84%,2700,
06-01-21,NBV,Nairobi Business Ventures Ltd,https://live.mystocks.co.ke/stock=NBV,4.04,4.9,4.65,4.48,0.17,3.79%,163700,
06-01-21,NMG,Nation Media Group Plc,https://live.mystocks.co.ke/stock=NMG,15.15,15.7,15.45,15.1,0.35,2.32%,26400,
06-01-21,SMER,Sameer Africa Plc,https://live.mystocks.co.ke/stock=SMER,2.95,3.57,3.44,3.25,0.19,5.85%,13200,
06-01-21,SGL,Standard Group Plc,https://live.mystocks.co.ke/stock=SGL,21,21,21,22.5,-1.5,-6.67%,200,
06-01-21,TPSE,TPS Eastern Africa (Serena) Ltd,https://live.mystocks.co.ke/stock=TPSE,16,16,16,16,0,0.00%,2200,
06-01-21,UCHM,Uchumi Supermarket Plc,https://live.mystocks.co.ke/stock=UCHM,0.29,0.3,0.3,0.28,0.02,7.14%,4300,
06-01-21,SCAN,WPP ScanGroup Plc,https://live.mystocks.co.ke/stock=SCAN,5.9,6.1,5.96,6,-0.04,-0.67%,105900,
06-01-21,ARM,ARM Cement Plc,https://live.mystocks.co.ke/stock=ARM,5.55,5.55,5.55,5.55,0,0.00%,-,
06-01-21,BAMB,Bamburi Cement Ltd,https://live.mystocks.co.ke/stock=BAMB,38,39,38.5,38.2,0.3,0.79%,62300,
06-01-21,CRWN,Crown Paints Kenya Plc,https://live.mystocks.co.ke/stock=CRWN,38,38,38,38,0,0.00%,-,
06-01-21,CABL,East African Cables Ltd,https://live.mystocks.co.ke/stock=CABL,1.44,1.46,1.45,1.45,0,0.00%,5100,
06-01-21,PORT,East African Portland Cement Ltd,https://live.mystocks.co.ke/stock=PORT,11,11,11,11,0,0.00%,-,
06-01-21,KEGN,Kenya Electricity Generating Company Plc,https://live.mystocks.co.ke/stock=KEGN,4.5,4.8,4.55,4.76,-0.21,-4.41%,245100,
06-01-21,KPLC-P4,KPLC-P4,https://live.mystocks.co.ke/stock=KPLC-P4,5,5,5,5,0,0.00%,-,
06-01-21,KPLC-P7,KPLC-P7,https://live.mystocks.co.ke/stock=KPLC-P7,6,6,6,6,0,0.00%,-,
06-01-21,KPLC,Kenya Power and Lighting Company Plc,https://live.mystocks.co.ke/stock=KPLC,1.7,1.75,1.71,1.71,0,0.00%,670400,
06-01-21,TOTL,Total Kenya Ltd,https://live.mystocks.co.ke/stock=TOTL,24.4,24.4,24.4,24.4,0,0.00%,-,
06-01-21,UMME,Umeme Ltd,https://live.mystocks.co.ke/stock=UMME,7.28,7.4,7.28,7.28,0,0.00%,7600,
06-01-21,BRIT,Britam Holdings Plc,https://live.mystocks.co.ke/stock=BRIT,7,7.5,7,7.12,-0.12,-1.69%,3907100,
06-01-21,CIC,CIC Insurance Group Ltd,https://live.mystocks.co.ke/stock=CIC,2.1,2.2,2.12,2.16,-0.04,-1.85%,17000,
06-01-21,JUB,Jubilee Holdings Ltd,https://live.mystocks.co.ke/stock=JUB,285,292,290,285,5,1.75%,14800,
06-01-21,KNRE,Kenya Re-Insurance Corporation Ltd,https://live.mystocks.co.ke/stock=KNRE,2.33,2.4,2.39,2.33,0.06,2.58%,318200,
06-01-21,LBTY,Liberty Kenya Holdings Ltd,https://live.mystocks.co.ke/stock=LBTY,7,7.5,7.4,7.5,-0.1,-1.33%,18900,
06-01-21,SLAM,Sanlam Kenya Plc,https://live.mystocks.co.ke/stock=SLAM,12,12,12,13,-1,-7.69%,3000,
06-01-21,CTUM,Centum Investment Company Plc,https://live.mystocks.co.ke/stock=CTUM,16.5,17.25,17.05,17.1,-0.05,-0.29%,53700,
06-01-21,HAFR,Home Afrika Ltd,https://live.mystocks.co.ke/stock=HAFR,0.4,0.43,0.4,0.41,-0.01,-2.44%,54200,
